epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,1778.32,0.85272,0.90466,1.39876,0.78048,0.79292,0.78604,0.51349,1.19613,1.07399,1.53941,0.000133695,0.000133695,0.000133695
156,1797.92,0.86155,0.90882,1.40461,0.78764,0.76935,0.77853,0.51119,1.19712,1.06699,1.53032,0.000128599,0.000128599,0.000128599
157,1817.03,0.83364,0.90045,1.39798,0.7775,0.77585,0.78238,0.51343,1.20119,1.06879,1.53375,0.000123596,0.000123596,0.000123596
158,1836.46,0.84027,0.87887,1.38963,0.80274,0.76421,0.78922,0.52217,1.19645,1.05269,1.52869,0.000118687,0.000118687,0.000118687
159,1857.63,0.83727,0.86854,1.39248,0.79037,0.77098,0.7844,0.52669,1.19278,1.0379,1.53286,0.000113873,0.000113873,0.000113873
160,1887.67,0.86356,0.89597,1.40566,0.81252,0.75554,0.78524,0.51755,1.20198,1.05588,1.54025,0.000109156,0.000109156,0.000109156
161,1915.97,0.81864,0.87518,1.37087,0.80304,0.76514,0.78112,0.51791,1.19352,1.05005,1.53365,0.000104537,0.000104537,0.000104537
162,1944.1,0.81869,0.85195,1.36605,0.79619,0.77474,0.78908,0.51849,1.18017,1.04769,1.52453,0.000100016,0.000100016,0.000100016
163,1974.26,0.84847,0.89703,1.40927,0.80241,0.74332,0.77424,0.51686,1.19637,1.06372,1.53809,9.55951e-05,9.55951e-05,9.55951e-05
164,2002.2,0.83135,0.89029,1.3895,0.82039,0.75894,0.78299,0.52154,1.19427,1.05025,1.53786,9.12754e-05,9.12754e-05,9.12754e-05
165,2019.33,0.82567,0.87999,1.39137,0.77169,0.7799,0.77423,0.51105,1.21558,1.06403,1.55747,8.70577e-05,8.70577e-05,8.70577e-05
166,2031.28,0.82161,0.86156,1.37674,0.78726,0.76586,0.76554,0.50812,1.22041,1.07545,1.56458,8.29431e-05,8.29431e-05,8.29431e-05
167,2043.12,0.84183,0.89717,1.40085,0.74917,0.77651,0.76128,0.50786,1.21553,1.09555,1.55963,7.89327e-05,7.89327e-05,7.89327e-05
168,2054.98,0.84869,0.8954,1.39303,0.74426,0.78342,0.76776,0.51019,1.20543,1.08828,1.55341,7.50274e-05,7.50274e-05,7.50274e-05
169,2067.15,0.84361,0.8816,1.38953,0.75769,0.77805,0.77315,0.51471,1.20491,1.0716,1.55336,7.12282e-05,7.12282e-05,7.12282e-05
170,2077.68,0.83993,0.89501,1.38839,0.77982,0.77721,0.78262,0.51215,1.21049,1.07719,1.55722,6.7536e-05,6.7536e-05,6.7536e-05
171,2087.36,0.81709,0.88004,1.37676,0.77417,0.774,0.77709,0.51251,1.20927,1.0669,1.55459,6.39518e-05,6.39518e-05,6.39518e-05
172,2096.97,0.83107,0.86717,1.37779,0.80029,0.76536,0.77847,0.51263,1.21295,1.05867,1.55703,6.04763e-05,6.04763e-05,6.04763e-05
173,2106.66,0.80892,0.86199,1.37049,0.80512,0.75772,0.77378,0.51347,1.21126,1.05745,1.55694,5.71106e-05,5.71106e-05,5.71106e-05
174,2116.41,0.84753,0.90174,1.39633,0.79888,0.76533,0.77966,0.51516,1.21032,1.05,1.55431,5.38554e-05,5.38554e-05,5.38554e-05
175,2126.09,0.81661,0.87591,1.37756,0.78812,0.78591,0.78792,0.51665,1.21188,1.04615,1.56139,5.07115e-05,5.07115e-05,5.07115e-05
176,2135.86,0.81624,0.86337,1.37352,0.79528,0.76883,0.78381,0.51344,1.21129,1.05221,1.56678,4.76796e-05,4.76796e-05,4.76796e-05
177,2145.55,0.79947,0.84443,1.36235,0.76174,0.78421,0.77967,0.51413,1.21639,1.06913,1.56693,4.47606e-05,4.47606e-05,4.47606e-05
178,2155.37,0.80095,0.85324,1.36659,0.84476,0.73545,0.78576,0.51892,1.21987,1.07146,1.56394,4.19552e-05,4.19552e-05,4.19552e-05
